cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;obitos_infantis;nascidos_vivos;TMI;ANO
170360;1703602;Brasilândia do Tocantins;TO;1974;0;28;0.0;2022
170370;1703701;Brejinho de Nazaré;TO;4725;0;53;0.0;2022
170380;1703800;Buriti do Tocantins;TO;10307;1;120;8.333333333333334;2022
170382;1703826;Cachoeirinha;TO;1961;0;26;0.0;2022
170384;1703842;Campos Lindos;TO;8653;3;160;18.75;2022
170386;1703867;Cariri do Tocantins;TO;4007;0;59;0.0;2022
170388;1703883;Carmolândia;TO;2201;0;27;0.0;2022
170389;1703891;Carrasco Bonito;TO;3318;0;54;0.0;2022
170390;1703909;Caseara;TO;4847;0;62;0.0;2022
170410;1704105;Centenário;TO;2131;1;15;66.66666666666667;2022
170460;1704600;Chapada de Areia;TO;1501;0;26;0.0;2022
170510;1705102;Chapada da Natividade;TO;3117;0;43;0.0;2022
170550;1705508;Colinas do Tocantins;TO;34233;6;511;11.741682974559687;2022
170555;1705557;Combinado;TO;4756;0;57;0.0;2022
170560;1705607;Conceição do Tocantins;TO;3887;2;52;38.46153846153847;2022
170600;1706001;Couto Magalhães;TO;5331;1;65;15.384615384615385;2022
170610;1706100;Cristalândia;TO;6371;2;73;27.397260273972602;2022
170625;1706258;Crixás do Tocantins;TO;1470;0;16;0.0;2022
170650;1706506;Darcinópolis;TO;5827;2;102;19.607843137254903;2022
170700;1707009;Dianópolis;TO;17739;7;291;24.054982817869416;2022
170710;1707108;Divinópolis do Tocantins;TO;7024;1;87;11.494252873563218;2022
170720;1707207;Dois Irmãos do Tocantins;TO;6327;2;82;24.390243902439025;2022
170730;1707306;Dueré;TO;4248;0;58;0.0;2022
170740;1707405;Esperantina;TO;7530;3;118;25.423728813559325;2022
170755;1707553;Fátima;TO;3467;0;53;0.0;2022
170765;1707652;Figueirópolis;TO;5211;0;58;0.0;2022
170770;1707702;Filadélfia;TO;7712;0;102;0.0;2022
170820;1708205;Formoso do Araguaia;TO;18881;3;278;10.79136690647482;2022
170825;1708254;Tabocão;TO;3455;0;55;0.0;2022
170830;1708304;Goianorte;TO;4738;0;49;0.0;2022
170900;1709005;Goiatins;TO;12433;8;235;34.04255319148936;2022
170930;1709302;Guaraí;TO;24775;6;330;18.18181818181818;2022
170950;1709500;Gurupi;TO;85125;8;1244;6.430868167202572;2022
170980;1709807;Ipueiras;TO;1590;0;9;0.0;2022
171050;1710508;Itacajá;TO;6819;2;119;16.80672268907563;2022
171070;1710706;Itaguatins;TO;5172;1;64;15.625;2022
171090;1710904;Itapiratins;TO;3577;0;49;0.0;2022
171110;1711100;Itaporã do Tocantins;TO;2404;0;46;0.0;2022
171150;1711506;Jaú do Tocantins;TO;3334;1;34;29.41176470588235;2022
171180;1711803;Juarina;TO;2243;1;35;28.57142857142857;2022
171190;1711902;Lagoa da Confusão;TO;15288;5;260;19.230769230769234;2022
171195;1711951;Lagoa do Tocantins;TO;3516;0;75;0.0;2022
171200;1712009;Lajeado;TO;3357;1;43;23.25581395348837;2022
171215;1712157;Lavandeira;TO;1626;2;23;86.95652173913044;2022
171240;1712405;Lizarda;TO;2999;1;44;22.727272727272727;2022
171245;1712454;Luzinópolis;TO;2717;0;36;0.0;2022
171250;1712504;Marianópolis do Tocantins;TO;4615;1;77;12.987012987012989;2022
171270;1712702;Mateiros;TO;2748;2;49;40.816326530612244;2022
171280;1712801;Maurilândia do Tocantins;TO;3095;1;35;28.57142857142857;2022
171320;1713205;Miracema do Tocantins;TO;18566;5;270;18.51851851851852;2022
171330;1713304;Miranorte;TO;12701;5;190;26.31578947368421;2022
171360;1713601;Monte do Carmo;TO;5694;2;69;28.985507246376812;2022
171370;1713700;Monte Santo do Tocantins;TO;2396;0;20;0.0;2022
171380;1713809;Palmeiras do Tocantins;TO;4872;0;71;0.0;2022
171395;1713957;Muricilândia;TO;3367;0;35;0.0;2022
171420;1714203;Natividade;TO;8754;2;110;18.18181818181818;2022
171430;1714302;Nazaré;TO;4521;2;61;32.786885245901644;2022
171488;1714880;Nova Olinda;TO;10367;4;165;24.242424242424242;2022
171500;1715002;Nova Rosalândia;TO;3362;0;35;0.0;2022
171510;1715101;Novo Acordo;TO;3969;1;83;12.048192771084338;2022
171515;1715150;Novo Alegre;TO;1846;1;11;90.9090909090909;2022
171525;1715259;Novo Jardim;TO;2230;0;32;0.0;2022
171550;1715507;Oliveira de Fátima;TO;1164;0;21;0.0;2022
171570;1715705;Palmeirante;TO;4798;3;62;48.387096774193544;2022
171575;1715754;Palmeirópolis;TO;6975;0;84;0.0;2022
171610;1716109;Paraíso do Tocantins;TO;52360;5;760;6.578947368421052;2022
171620;1716208;Paranã;TO;10542;4;141;28.368794326241133;2022
171630;1716307;Pau D'Arco;TO;4043;1;50;20.0;2022
171650;1716505;Pedro Afonso;TO;14055;6;222;27.027027027027028;2022
171660;1716604;Peixe;TO;9317;3;123;24.390243902439025;2022
171665;1716653;Pequizeiro;TO;4921;2;64;31.25;2022
171670;1716703;Colméia;TO;8941;0;106;0.0;2022
171700;1717008;Pindorama do Tocantins;TO;4478;2;62;32.25806451612903;2022
171720;1717206;Piraquê;TO;2282;0;33;0.0;2022
171750;1717503;Pium;TO;7128;0;95;0.0;2022
171780;1717800;Ponte Alta do Bom Jesus;TO;4220;0;41;0.0;2022
171790;1717909;Ponte Alta do Tocantins;TO;7586;2;104;19.230769230769234;2022
171800;1718006;Porto Alegre do Tocantins;TO;2866;2;37;54.054054054054056;2022
171820;1718204;Porto Nacional;TO;64418;16;1025;15.609756097560975;2022
171830;1718303;Praia Norte;TO;9044;0;91;0.0;2022
171840;1718402;Presidente Kennedy;TO;3047;0;33;0.0;2022
171845;1718451;Pugmil;TO;2193;0;29;0.0;2022
171850;1718501;Recursolândia;TO;3421;0;66;0.0;2022
171855;1718550;Riachinho;TO;3960;0;59;0.0;2022
171865;1718659;Rio da Conceição;TO;1768;0;24;0.0;2022
171870;1718709;Rio dos Bois;TO;2738;0;32;0.0;2022
171875;1718758;Rio Sono;TO;4841;1;63;15.873015873015872;2022
171880;1718808;Sampaio;TO;4215;1;82;12.195121951219512;2022
171884;1718840;Sandolândia;TO;3723;1;63;15.873015873015872;2022
171886;1718865;Santa Fé do Araguaia;TO;7216;1;121;8.264462809917356;2022
171888;1718881;Santa Maria do Tocantins;TO;2680;0;47;0.0;2022
171889;1718899;Santa Rita do Tocantins;TO;2219;0;27;0.0;2022
171890;1718907;Santa Rosa do Tocantins;TO;4653;2;73;27.397260273972602;2022
171900;1719004;Santa Tereza do Tocantins;TO;2781;1;50;20.0;2022
172000;1720002;Santa Terezinha do Tocantins;TO;2406;1;35;28.57142857142857;2022
172010;1720101;São Bento do Tocantins;TO;5654;0;102;0.0;2022
172015;1720150;São Félix do Tocantins;TO;1783;0;18;0.0;2022
172020;1720200;São Miguel do Tocantins;TO;13241;1;145;6.896551724137931;2022
172025;1720259;São Salvador do Tocantins;TO;2385;0;38;0.0;2022
172030;1720309;São Sebastião do Tocantins;TO;4100;1;62;16.129032258064516;2022
172049;1720499;São Valério;TO;4422;1;53;18.867924528301884;2022
172065;1720655;Silvanópolis;TO;5108;2;76;26.31578947368421;2022
172080;1720804;Sítio Novo do Tocantins;TO;10830;2;127;15.748031496062993;2022
172085;1720853;Sucupira;TO;1577;0;14;0.0;2022
172090;1720903;Taguatinga;TO;14011;1;175;5.714285714285714;2022
172093;1720937;Taipas do Tocantins;TO;2021;1;28;35.714285714285715;2022
172097;1720978;Talismã;TO;2456;1;28;35.714285714285715;2022
172100;1721000;Palmas;TO;302692;51;4762;10.709785804283914;2022
172110;1721109;Tocantínia;TO;7459;1;170;5.88235294117647;2022
172120;1721208;Tocantinópolis;TO;22615;5;331;15.105740181268883;2022
172125;1721257;Tupirama;TO;1909;0;24;0.0;2022
172130;1721307;Tupiratins;TO;1874;0;23;0.0;2022
172208;1722081;Wanderlândia;TO;10522;2;120;16.666666666666668;2022
172210;1722107;Xambioá;TO;10517;1;156;6.41025641025641;2022
