cod_mun_ibge_6;ANO;UF;municipio;populacao;TMI;COBERTURA_PRENATAL;TAXA_MEDICOS;PROP_CESAREOS;PROP_MAL_DEFINIDAS;DOENCAS_CRONICAS
521190;2021;GO;Jataí;105729;16.655100624566273;83.69188063844553;0.01891628597641139;71.33934767522554;1.827956989247312;2.8374428964617087
521190;2022;GO;Jataí;105729;13.32398316970547;82.81907433380084;0.01891628597641139;68.09256661991586;1.0869565217391304;2.0807914574052533
521200;2021;GO;Jaupaci;2924;0.0;68.08510638297872;0.6839945280437756;87.2340425531915;7.317073170731707;6.839945280437757
521200;2022;GO;Jaupaci;2924;0.0;84.375;0.6839945280437756;90.625;10.0;3.4199726402188784
521205;2021;GO;Jesúpolis;2123;0.0;72.72727272727273;0.9420631182289214;63.63636363636363;0.0;9.420631182289213
521205;2022;GO;Jesúpolis;2123;0.0;66.66666666666666;0.4710315591144607;66.66666666666666;0.0;4.710315591144607
521210;2021;GO;Joviânia;7159;11.904761904761903;86.90476190476191;0.2793686269031988;89.28571428571429;4.761904761904762;5.587372538063976
521210;2022;GO;Joviânia;7159;0.0;87.12871287128714;0.2793686269031988;89.10891089108911;1.36986301369863;11.174745076127952
521220;2021;GO;Jussara;19620;9.75609756097561;80.48780487804879;0.10193679918450561;88.78048780487805;1.9607843137254901;12.232415902140673
521220;2022;GO;Jussara;19620;8.438818565400844;82.70042194092827;0.10193679918450561;93.24894514767934;3.3333333333333335;19.367991845056064
521225;2021;GO;Lagoa Santa;1390;0.0;85.71428571428571;0.7194244604316546;85.71428571428571;5.555555555555555;0.0
521225;2022;GO;Lagoa Santa;1390;0.0;52.94117647058824;0.7194244604316546;76.47058823529412;0.0;0.0
521230;2021;GO;Leopoldo de Bulhões;8745;12.195121951219512;69.51219512195121;0.22870211549456831;62.19512195121951;0.0;0.0
521230;2022;GO;Leopoldo de Bulhões;8745;10.989010989010989;69.23076923076923;0.22870211549456831;69.23076923076923;3.508771929824561;3.4305317324185247
521250;2021;GO;Luziânia;209129;9.592326139088728;57.588215142171975;0.009563475175609312;47.3792394655704;0.676132521974307;1.4345212763413968
521250;2022;GO;Luziânia;209129;12.006861063464836;61.44082332761578;0.009563475175609312;48.06174957118353;2.538902538902539;2.964677304438887
521260;2021;GO;Mairipotaba;2561;0.0;87.5;0.39047247169074584;62.5;0.0;3.904724716907458
521260;2022;GO;Mairipotaba;2561;0.0;84.21052631578947;0.39047247169074584;73.68421052631578;0.0;7.809449433814916
521270;2021;GO;Mambaí;8124;30.864197530864196;76.5432098765432;0.2461841457410143;79.01234567901234;1.7241379310344827;22.156573116691288
521270;2022;GO;Mambaí;8124;0.0;84.82758620689656;0.2461841457410143;75.86206896551724;4.545454545454546;7.385524372230429
521280;2021;GO;Mara Rosa;10700;15.151515151515152;81.81818181818183;0.18691588785046728;68.93939393939394;2.0;7.4766355140186915
521280;2022;GO;Mara Rosa;10700;16.666666666666668;74.16666666666667;0.18691588785046728;69.16666666666667;1.2048192771084338;16.822429906542055
521290;2021;GO;Marzagão;2758;27.777777777777775;88.88888888888889;0.7251631617113851;83.33333333333334;3.4482758620689653;3.625815808556925
521290;2022;GO;Marzagão;2758;0.0;90.2439024390244;0.7251631617113851;82.92682926829268;0.0;10.877447425670775
521295;2021;GO;Matrinchã;4042;20.408163265306122;83.6734693877551;0.4948045522018803;55.10204081632652;10.256410256410255;22.26620484908461
521295;2022;GO;Matrinchã;4042;0.0;85.0;0.4948045522018803;47.5;3.571428571428571;9.896091044037606
521300;2021;GO;Maurilândia;10304;7.092198581560283;77.30496453900709;0.19409937888198756;80.1418439716312;0.0;3.881987577639751
521300;2022;GO;Maurilândia;10304;15.384615384615385;73.84615384615385;0.19409937888198756;82.3076923076923;0.0;12.616459627329192
521305;2021;GO;Mimoso de Goiás;2614;0.0;88.88888888888889;0.7651109410864575;59.25925925925925;8.333333333333332;0.0
521305;2022;GO;Mimoso de Goiás;2614;0.0;87.5;0.7651109410864575;50.0;25.0;3.8255547054322876
521308;2021;GO;Minaçu;27075;15.384615384615385;73.07692307692307;0.07386888273314866;63.589743589743584;0.7042253521126761;6.64819944598338
521308;2022;GO;Minaçu;27075;2.9069767441860463;73.83720930232558;0.07386888273314866;61.91860465116279;1.3215859030837005;14.404432132963988
521310;2021;GO;Mineiros;70081;15.594541910331383;90.83820662768031;0.028538405559281402;88.30409356725146;2.4822695035460995;8.1334455843952
521310;2022;GO;Mineiros;70081;9.523809523809526;91.9047619047619;0.028538405559281402;89.80952380952381;2.083333333333333;7.13460138982035
521340;2021;GO;Moiporá;1685;0.0;83.33333333333334;1.1869436201780414;83.33333333333334;0.0;0.0
521340;2022;GO;Moiporá;1685;0.0;100.0;1.1869436201780414;80.95238095238095;0.0;5.9347181008902075
521350;2021;GO;Monte Alegre de Goiás;6692;20.61855670103093;58.76288659793815;0.29886431560071725;48.45360824742268;8.51063829787234;4.48296473401076
521350;2022;GO;Monte Alegre de Goiás;6692;8.695652173913043;66.95652173913044;0.29886431560071725;42.608695652173914;7.4074074074074066;14.943215780035864
521370;2021;GO;Montes Claros de Goiás;8756;0.0;85.71428571428571;0.2284148012791229;74.48979591836735;0.0;2.284148012791229
521370;2022;GO;Montes Claros de Goiás;8756;11.235955056179774;86.51685393258427;0.2284148012791229;68.53932584269663;2.7777777777777777;6.8524440383736875
521375;2021;GO;Montividiu;12521;12.121212121212121;67.87878787878789;0.1597316508266113;73.33333333333333;1.4492753623188406;1.5973165082661132
521375;2022;GO;Montividiu;12521;6.211180124223602;77.63975155279503;0.1597316508266113;73.29192546583852;0.0;1.5973165082661132
521377;2021;GO;Montividiu do Norte;3779;42.5531914893617;63.829787234042556;0.5292405398253506;87.2340425531915;12.5;7.93860809738026
521377;2022;GO;Montividiu do Norte;3779;0.0;65.11627906976744;0.5292405398253506;81.3953488372093;8.333333333333332;10.584810796507012
521380;2021;GO;Morrinhos;51351;14.240506329113924;81.32911392405063;0.0389476349048704;81.17088607594937;0.8163265306122449;21.61593737220307
521380;2022;GO;Morrinhos;51351;1.6129032258064515;79.83870967741935;0.0389476349048704;79.83870967741935;0.5076142131979695;19.084341103386496
521385;2021;GO;Morro Agudo de Goiás;2456;0.0;77.14285714285715;0.8143322475570033;85.71428571428571;3.7037037037037033;0.0
521385;2022;GO;Morro Agudo de Goiás;2456;38.46153846153847;100.0;0.8143322475570033;84.61538461538461;0.0;4.071661237785016
