cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;n_medicos;TAXA_MEDICOS;ANO;MES
171150;1711506;Jaú do Tocantins;TO;3334;2;0.5998800239952009;2022;0
171180;1711803;Juarina;TO;2243;1;0.44583147570218457;2022;0
171190;1711902;Lagoa da Confusão;TO;15288;2;0.13082155939298798;2022;0
171195;1711951;Lagoa do Tocantins;TO;3516;2;0.5688282138794084;2022;0
171200;1712009;Lajeado;TO;3357;2;0.5957700327673517;2022;0
171215;1712157;Lavandeira;TO;1626;2;1.2300123001230012;2022;0
171240;1712405;Lizarda;TO;2999;1;0.33344448149383127;2022;0
171245;1712454;Luzinópolis;TO;2717;2;0.736105999263894;2022;0
171250;1712504;Marianópolis do Tocantins;TO;4615;2;0.4333694474539545;2022;0
171270;1712702;Mateiros;TO;2748;2;0.727802037845706;2022;0
171280;1712801;Maurilândia do Tocantins;TO;3095;2;0.6462035541195477;2022;0
171320;1713205;Miracema do Tocantins;TO;18566;2;0.10772379618657761;2022;0
171330;1713304;Miranorte;TO;12701;2;0.15746791591213288;2022;0
171360;1713601;Monte do Carmo;TO;5694;2;0.3512469265893923;2022;0
171370;1713700;Monte Santo do Tocantins;TO;2396;2;0.8347245409015025;2022;0
171380;1713809;Palmeiras do Tocantins;TO;4872;2;0.41050903119868637;2022;0
171395;1713957;Muricilândia;TO;3367;2;0.5940005940005939;2022;0
171420;1714203;Natividade;TO;8754;2;0.2284669865204478;2022;0
171430;1714302;Nazaré;TO;4521;2;0.44238000442380004;2022;0
171488;1714880;Nova Olinda;TO;10367;2;0.1929198418057297;2022;0
171500;1715002;Nova Rosalândia;TO;3362;2;0.5948839976204641;2022;0
171510;1715101;Novo Acordo;TO;3969;2;0.5039052658100278;2022;0
171515;1715150;Novo Alegre;TO;1846;1;0.5417118093174431;2022;0
171525;1715259;Novo Jardim;TO;2230;1;0.4484304932735426;2022;0
171550;1715507;Oliveira de Fátima;TO;1164;1;0.8591065292096219;2022;0
171570;1715705;Palmeirante;TO;4798;2;0.41684035014589416;2022;0
171575;1715754;Palmeirópolis;TO;6975;2;0.2867383512544803;2022;0
171610;1716109;Paraíso do Tocantins;TO;52360;2;0.03819709702062643;2022;0
171620;1716208;Paranã;TO;10542;2;0.1897173211914248;2022;0
171630;1716307;Pau D'Arco;TO;4043;2;0.4946821667078902;2022;0
171650;1716505;Pedro Afonso;TO;14055;2;0.14229811454998223;2022;0
171660;1716604;Peixe;TO;9317;2;0.2146613716861651;2022;0
171665;1716653;Pequizeiro;TO;4921;2;0.406421459053038;2022;0
171670;1716703;Colméia;TO;8941;2;0.2236886254333967;2022;0
171700;1717008;Pindorama do Tocantins;TO;4478;2;0.4466279589102278;2022;0
171720;1717206;Piraquê;TO;2282;2;0.8764241893076249;2022;0
171750;1717503;Pium;TO;7128;2;0.28058361391694725;2022;0
171780;1717800;Ponte Alta do Bom Jesus;TO;4220;2;0.47393364928909953;2022;0
171790;1717909;Ponte Alta do Tocantins;TO;7586;2;0.2636435539151068;2022;0
171800;1718006;Porto Alegre do Tocantins;TO;2866;2;0.6978367062107467;2022;0
171820;1718204;Porto Nacional;TO;64418;2;0.031047222825918222;2022;0
171830;1718303;Praia Norte;TO;9044;2;0.22114108801415305;2022;0
171840;1718402;Presidente Kennedy;TO;3047;2;0.6563833278634722;2022;0
171845;1718451;Pugmil;TO;2193;1;0.45599635202918376;2022;0
171850;1718501;Recursolândia;TO;3421;2;0.5846243788365975;2022;0
171855;1718550;Riachinho;TO;3960;2;0.5050505050505051;2022;0
171865;1718659;Rio da Conceição;TO;1768;1;0.5656108597285069;2022;0
171870;1718709;Rio dos Bois;TO;2738;2;0.7304601899196493;2022;0
171875;1718758;Rio Sono;TO;4841;2;0.4131377814501136;2022;0
171880;1718808;Sampaio;TO;4215;2;0.47449584816132856;2022;0
171884;1718840;Sandolândia;TO;3723;2;0.5372011818426;2022;0
171886;1718865;Santa Fé do Araguaia;TO;7216;2;0.2771618625277162;2022;0
171888;1718881;Santa Maria do Tocantins;TO;2680;1;0.373134328358209;2022;0
171889;1718899;Santa Rita do Tocantins;TO;2219;2;0.9013068949977467;2022;0
171890;1718907;Santa Rosa do Tocantins;TO;4653;2;0.4298302170642596;2022;0
171900;1719004;Santa Tereza do Tocantins;TO;2781;1;0.3595828838547285;2022;0
172000;1720002;Santa Terezinha do Tocantins;TO;2406;2;0.8312551953449709;2022;0
172010;1720101;São Bento do Tocantins;TO;5654;1;0.17686593562079944;2022;0
172015;1720150;São Félix do Tocantins;TO;1783;2;1.1217049915872126;2022;0
172020;1720200;São Miguel do Tocantins;TO;13241;2;0.15104599350502226;2022;0
172025;1720259;São Salvador do Tocantins;TO;2385;2;0.8385744234800838;2022;0
172030;1720309;São Sebastião do Tocantins;TO;4100;2;0.4878048780487805;2022;0
172049;1720499;São Valério;TO;4422;2;0.4522840343735866;2022;0
172065;1720655;Silvanópolis;TO;5108;2;0.39154267815191857;2022;0
172080;1720804;Sítio Novo do Tocantins;TO;10830;2;0.18467220683287164;2022;0
172085;1720853;Sucupira;TO;1577;2;1.2682308180088777;2022;0
172090;1720903;Taguatinga;TO;14011;2;0.14274498608236386;2022;0
172093;1720937;Taipas do Tocantins;TO;2021;1;0.4948045522018803;2022;0
172097;1720978;Talismã;TO;2456;2;0.8143322475570033;2022;0
172100;1721000;Palmas;TO;302692;2;0.006607376475096798;2022;0
172110;1721109;Tocantínia;TO;7459;2;0.2681324574339724;2022;0
172120;1721208;Tocantinópolis;TO;22615;2;0.08843687817820031;2022;0
172125;1721257;Tupirama;TO;1909;2;1.0476689366160294;2022;0
172130;1721307;Tupiratins;TO;1874;1;0.5336179295624334;2022;0
172208;1722081;Wanderlândia;TO;10522;2;0.19007793195210038;2022;0
172210;1722107;Xambioá;TO;10517;2;0.19016829894456594;2022;0
