cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;total_obitos;obitos_mal_definidas;PROP_MAL_DEFINIDAS;TX_MAL_DEFINIDAS_P10K;ANO
172100;1721000;Palmas;TO;302692;1674;35;2.0908004778972518;1.1562908831419396;2021
172110;1721109;Tocantínia;TO;7459;46;7;15.217391304347828;9.384636010189034;2021
172120;1721208;Tocantinópolis;TO;22615;166;1;0.6024096385542169;0.4421843908910016;2021
172125;1721257;Tupirama;TO;1909;5;0;0.0;0.0;2021
172130;1721307;Tupiratins;TO;1874;9;2;22.22222222222222;10.672358591248667;2021
172208;1722081;Wanderlândia;TO;10522;94;0;0.0;0.0;2021
172210;1722107;Xambioá;TO;10517;102;2;1.9607843137254901;1.9016829894456593;2021
170025;1700251;Abreulândia;TO;2576;16;0;0.0;0.0;2022
170030;1700301;Aguiarnópolis;TO;4497;37;0;0.0;0.0;2022
170035;1700350;Aliança do Tocantins;TO;5147;51;0;0.0;0.0;2022
170040;1700400;Almas;TO;6499;54;1;1.8518518518518516;1.5386982612709648;2022
170070;1700707;Alvorada;TO;8802;53;0;0.0;0.0;2022
170100;1701002;Ananás;TO;10325;65;0;0.0;0.0;2022
170105;1701051;Angico;TO;2876;26;0;0.0;0.0;2022
170110;1701101;Aparecida do Rio Negro;TO;4856;32;0;0.0;0.0;2022
170130;1701309;Aragominas;TO;5290;27;0;0.0;0.0;2022
170190;1701903;Araguacema;TO;5927;27;0;0.0;0.0;2022
170200;1702000;Araguaçu;TO;8133;62;1;1.6129032258064515;1.2295585884667404;2022
170210;1702109;Araguaína;TO;171301;1072;23;2.1455223880597014;1.342665833824671;2022
170215;1702158;Araguanã;TO;4310;39;3;7.6923076923076925;6.960556844547563;2022
170220;1702208;Araguatins;TO;31918;204;11;5.392156862745098;3.446331223760887;2022
170230;1702307;Arapoema;TO;5550;49;3;6.122448979591836;5.405405405405405;2022
170240;1702406;Arraias;TO;10287;78;10;12.82051282051282;9.72100709633518;2022
170255;1702554;Augustinópolis;TO;17484;121;3;2.479338842975207;1.7158544955387782;2022
170270;1702703;Aurora do Tocantins;TO;3342;24;1;4.166666666666666;2.9922202274087373;2022
170290;1702901;Axixá do Tocantins;TO;10262;91;2;2.197802197802198;1.9489378288832586;2022
170300;1703008;Babaçulândia;TO;7880;63;2;3.1746031746031744;2.5380710659898478;2022
170305;1703057;Bandeirantes do Tocantins;TO;3407;21;1;4.761904761904762;2.93513354857646;2022
170307;1703073;Barra do Ouro;TO;4476;36;0;0.0;0.0;2022
170310;1703107;Barrolândia;TO;4846;44;2;4.545454545454546;4.127115146512588;2022
170320;1703206;Bernardo Sayão;TO;4229;23;2;8.695652173913043;4.729250413809411;2022
170330;1703305;Bom Jesus do Tocantins;TO;4038;26;1;3.8461538461538463;2.4764735017335315;2022
170360;1703602;Brasilândia do Tocantins;TO;1974;9;0;0.0;0.0;2022
170370;1703701;Brejinho de Nazaré;TO;4725;52;1;1.9230769230769231;2.1164021164021163;2022
170380;1703800;Buriti do Tocantins;TO;10307;62;0;0.0;0.0;2022
170382;1703826;Cachoeirinha;TO;1961;16;1;6.25;5.099439061703213;2022
170384;1703842;Campos Lindos;TO;8653;47;0;0.0;0.0;2022
170386;1703867;Cariri do Tocantins;TO;4007;28;0;0.0;0.0;2022
