cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;total_nascimentos;partos_cesareos;PROP_CESAREOS;ANO
171575;1715754;Palmeirópolis;TO;6975;84;54;64.28571428571429;2022
171610;1716109;Paraíso do Tocantins;TO;52360;760;478;62.89473684210526;2022
171620;1716208;Paranã;TO;10542;141;78;55.319148936170215;2022
171630;1716307;Pau D'Arco;TO;4043;50;22;44.0;2022
171650;1716505;Pedro Afonso;TO;14055;222;147;66.21621621621621;2022
171660;1716604;Peixe;TO;9317;123;76;61.78861788617886;2022
171665;1716653;Pequizeiro;TO;4921;64;46;71.875;2022
171670;1716703;Colméia;TO;8941;106;71;66.98113207547169;2022
171700;1717008;Pindorama do Tocantins;TO;4478;62;24;38.70967741935484;2022
171720;1717206;Piraquê;TO;2282;33;21;63.63636363636363;2022
171750;1717503;Pium;TO;7128;95;36;37.89473684210527;2022
171780;1717800;Ponte Alta do Bom Jesus;TO;4220;41;23;56.09756097560976;2022
171790;1717909;Ponte Alta do Tocantins;TO;7586;104;48;46.15384615384615;2022
171800;1718006;Porto Alegre do Tocantins;TO;2866;37;23;62.16216216216216;2022
171820;1718204;Porto Nacional;TO;64418;1025;603;58.829268292682926;2022
171830;1718303;Praia Norte;TO;9044;91;42;46.15384615384615;2022
171840;1718402;Presidente Kennedy;TO;3047;33;21;63.63636363636363;2022
171845;1718451;Pugmil;TO;2193;29;14;48.275862068965516;2022
171850;1718501;Recursolândia;TO;3421;66;31;46.96969696969697;2022
171855;1718550;Riachinho;TO;3960;59;31;52.54237288135594;2022
171865;1718659;Rio da Conceição;TO;1768;24;11;45.83333333333333;2022
171870;1718709;Rio dos Bois;TO;2738;32;22;68.75;2022
171875;1718758;Rio Sono;TO;4841;63;32;50.79365079365079;2022
171880;1718808;Sampaio;TO;4215;82;35;42.68292682926829;2022
171884;1718840;Sandolândia;TO;3723;63;39;61.904761904761905;2022
171886;1718865;Santa Fé do Araguaia;TO;7216;121;64;52.892561983471076;2022
171888;1718881;Santa Maria do Tocantins;TO;2680;47;28;59.57446808510638;2022
171889;1718899;Santa Rita do Tocantins;TO;2219;27;21;77.77777777777779;2022
171890;1718907;Santa Rosa do Tocantins;TO;4653;73;32;43.83561643835616;2022
171900;1719004;Santa Tereza do Tocantins;TO;2781;50;23;46.0;2022
172000;1720002;Santa Terezinha do Tocantins;TO;2406;35;16;45.714285714285715;2022
172010;1720101;São Bento do Tocantins;TO;5654;102;50;49.01960784313725;2022
172015;1720150;São Félix do Tocantins;TO;1783;18;10;55.55555555555556;2022
172020;1720200;São Miguel do Tocantins;TO;13241;145;69;47.58620689655172;2022
172025;1720259;São Salvador do Tocantins;TO;2385;38;20;52.63157894736842;2022
172030;1720309;São Sebastião do Tocantins;TO;4100;62;19;30.64516129032258;2022
172049;1720499;São Valério;TO;4422;53;35;66.0377358490566;2022
172065;1720655;Silvanópolis;TO;5108;76;38;50.0;2022
172080;1720804;Sítio Novo do Tocantins;TO;10830;127;59;46.45669291338583;2022
172085;1720853;Sucupira;TO;1577;14;10;71.42857142857143;2022
172090;1720903;Taguatinga;TO;14011;175;101;57.714285714285715;2022
172093;1720937;Taipas do Tocantins;TO;2021;28;8;28.57142857142857;2022
172097;1720978;Talismã;TO;2456;28;19;67.85714285714286;2022
172100;1721000;Palmas;TO;302692;4762;2619;54.99790004199916;2022
172110;1721109;Tocantínia;TO;7459;170;64;37.64705882352941;2022
172120;1721208;Tocantinópolis;TO;22615;331;136;41.08761329305136;2022
172125;1721257;Tupirama;TO;1909;24;16;66.66666666666666;2022
172130;1721307;Tupiratins;TO;1874;23;10;43.47826086956522;2022
172208;1722081;Wanderlândia;TO;10522;120;65;54.166666666666664;2022
172210;1722107;Xambioá;TO;10517;156;89;57.05128205128205;2022
