CO_MICIBGE CO_ATIVOTATUATIVO  DS_NOME                              DS_NOMEPAD                                 DS_ABREV                             NU_ORDEM
22002      ATIVO              Litoral Piauiense - PI               LITORAL PIAUIENSE - PI                     Litoral Piauiense - PI               1
22003      ATIVO              Teresina - PI                        TERESINA - PI                              Teresina - PI                        1
22004      ATIVO              Campo Maior - PI                     CAMPO MAIOR - PI                           Campo Maior - PI                     1
22005      ATIVO              Medio Parnaiba Piauiense - PI        MEDIO PARNAIBA PIAUIENSE - PI              Medio Parnaiba Piauiense - PI        1
22006      ATIVO              Valenca Do Piaui - PI                VALENCA DO PIAUI - PI                      Valenca Do Piaui - PI                1
22007      ATIVO              Alto Parnaiba Piauiense - PI         ALTO PARNAIBA PIAUIENSE - PI               Alto Parnaiba Piauiense - PI         1
22008      ATIVO              Bertolinia - PI                      BERTOLINIA - PI                            Bertolinia - PI                      1
22009      ATIVO              Floriano - PI                        FLORIANO - PI                              Floriano - PI                        1
22010      ATIVO              Alto Medio Gurgueia - PI             ALTO MEDIO GURGUEIA - PI                   Alto Medio Gurgueia - PI             1
22011      ATIVO              Sao Raimundo Nonato - PI             SAO RAIMUNDO NONATO - PI                   Sao Raimundo Nonato - PI             1
22012      ATIVO              Chapadas Do Extremo Sul Piauiense - PCHAPADAS DO EXTREMO SUL PIAUIENSE - PI     Chapadas Do Extremo Sul Piauiense - P1
22013      ATIVO              Picos - PI                           PICOS - PI                                 Picos - PI                           1
22014      ATIVO              Pio Ix - PI                          PIO IX - PI                                Pio Ix - PI                          1
22015      ATIVO              Alto Medio Caninde - PI              ALTO MEDIO CANINDE - PI                    Alto Medio Caninde - PI              1
23000      IGNOR              Municipio Ignorado - Ce -            MUNICIPIO IGNORADO - CE -                  Municipio Ignorado - Ce -            8
23001      ATIVO              Litoral De Camocim E Acarau - CE     LITORAL DE CAMOCIM E ACARAU - CE           Litoral De Camocim E Acarau - CE     1
23002      ATIVO              Ibiapaba - CE                        IBIAPABA - CE                              Ibiapaba - CE                        1
23003      ATIVO              Coreau - CE                          COREAU - CE                                Coreau - CE                          1
23004      ATIVO              Meruoca - CE                         MERUOCA - CE                               Meruoca - CE                         1
23005      ATIVO              Sobral - CE                          SOBRAL - CE                                Sobral - CE                          1
23006      ATIVO              Ipu - CE                             IPU - CE                                   Ipu - CE                             1
23007      ATIVO              Santa Quiteria - CE                  SANTA QUITERIA - CE                        Santa Quiteria - CE                  1
23008      ATIVO              Itapipoca - CE                       ITAPIPOCA - CE                             Itapipoca - CE                       1
23009      ATIVO              Baixo Curu - CE                      BAIXO CURU - CE                            Baixo Curu - CE                      1
23010      ATIVO              Uruburetama - CE                     URUBURETAMA - CE                           Uruburetama - CE                     1
23011      ATIVO              Medio Curu - CE                      MEDIO CURU - CE                            Medio Curu - CE                      1
23012      ATIVO              Caninde - CE                         CANINDE - CE                               Caninde - CE                         1
23013      ATIVO              Baturite - CE                        BATURITE - CE                              Baturite - CE                        1
23014      ATIVO              Chorozinho - CE                      CHOROZINHO - CE                            Chorozinho - CE                      1
23015      ATIVO              Cascavel - CE                        CASCAVEL - CE                              Cascavel - CE                        1
23016      ATIVO              Fortaleza - CE                       FORTALEZA - CE                             Fortaleza - CE                       1
23017      ATIVO              Pacajus - CE                         PACAJUS - CE                               Pacajus - CE                         1
23018      ATIVO              Sertao De Crateus - CE               SERTAO DE CRATEUS - CE                     Sertao De Crateus - CE               1
23019      ATIVO              Sertao De Quixeramobim - CE          SERTAO DE QUIXERAMOBIM - CE                Sertao De Quixeramobim - CE          1
23020      ATIVO              Sertao De Inhamuns - CE              SERTAO DE INHAMUNS - CE                    Sertao De Inhamuns - CE              1
23021      ATIVO              Sertao De Senador Pompeu - CE        SERTAO DE SENADOR POMPEU - CE              Sertao De Senador Pompeu - CE        1
23022      ATIVO              Litoral De Aracati - CE              LITORAL DE ARACATI - CE                    Litoral De Aracati - CE              1
23023      ATIVO              Baixo Jaguaribe - CE                 BAIXO JAGUARIBE - CE                       Baixo Jaguaribe - CE                 1
23024      ATIVO              Medio Jaguaribe - CE                 MEDIO JAGUARIBE - CE                       Medio Jaguaribe - CE                 1
23025      ATIVO              Serra Do Pereiro - CE                SERRA DO PEREIRO - CE                      Serra Do Pereiro - CE                1
23026      ATIVO              Iguatu - CE                          IGUATU - CE                                Iguatu - CE                          1
23027      ATIVO              Varzea Alegre - CE                   VARZEA ALEGRE - CE                         Varzea Alegre - CE                   1
23028      ATIVO              Lavras Da Mangabeira - CE            LAVRAS DA MANGABEIRA - CE                  Lavras Da Mangabeira - CE            1
23029      ATIVO              Chapada Do Araripe - CE              CHAPADA DO ARARIPE - CE                    Chapada Do Araripe - CE              1
23030      ATIVO              Caririacu - CE                       CARIRIACU - CE                             Caririacu - CE                       1
23031      ATIVO              Barro - CE                           BARRO - CE                                 Barro - CE                           1
23032      ATIVO              Cariri - CE                          CARIRI - CE                                Cariri - CE                          1
23033      ATIVO              Brejo Santo - CE                     BREJO SANTO - CE                           Brejo Santo - CE                     1
24000      IGNOR              Municipio Ignorado - Rn -            MUNICIPIO IGNORADO - RN -                  Municipio Ignorado - Rn -            8
24001      ATIVO              Mossoro - RN                         MOSSORO - RN                               Mossoro - RN                         1
24002      ATIVO              Chapada Do Apodi - RN                CHAPADA DO APODI - RN                      Chapada Do Apodi - RN                1
24003      ATIVO              Medio Oeste - RN                     MEDIO OESTE - RN                           Medio Oeste - RN                     1
24004      ATIVO              Vale Do Acu - RN                     VALE DO ACU - RN                           Vale Do Acu - RN                     1
24005      ATIVO              Serra De Sao Miguel - RN             SERRA DE SAO MIGUEL - RN                   Serra De Sao Miguel - RN             1
24006      ATIVO              Pau Dos Ferros - RN                  PAU DOS FERROS - RN                        Pau Dos Ferros - RN                  1
24007      ATIVO              Umarizal - RN                        UMARIZAL - RN                              Umarizal - RN                        1
24008      ATIVO              Macau - RN                           MACAU - RN                                 Macau - RN                           1
24009      ATIVO              Angicos - RN                         ANGICOS - RN                               Angicos - RN                         1
24010      ATIVO              Serra De Santana - RN                SERRA DE SANTANA - RN                      Serra De Santana - RN                1
24011      ATIVO              Serido Ocidental - RN                SERIDO OCIDENTAL - RN                      Serido Ocidental - RN                1
24012      ATIVO              Serido Oriental - RN                 SERIDO ORIENTAL - RN                       Serido Oriental - RN                 1
24013      ATIVO              Baixa Verde - RN                     BAIXA VERDE - RN                           Baixa Verde - RN                     1
24014      ATIVO              Borborema Potiguar - RN              BORBOREMA POTIGUAR - RN                    Borborema Potiguar - RN              1
24015      ATIVO              Agreste Potiguar - RN                AGRESTE POTIGUAR - RN                      Agreste Potiguar - RN                1
24016      ATIVO              Litoral Nordeste - RN                LITORAL NORDESTE - RN                      Litoral Nordeste - RN                1
24017      ATIVO              Macaiba - RN                         MACAIBA - RN                               Macaiba - RN                         1
24018      ATIVO              Natal - RN                           NATAL - RN                                 Natal - RN                           1
24019      ATIVO              Litoral Sul - RN                     LITORAL SUL - RN                           Litoral Sul - RN                     1
25000      IGNOR              Municipio Ignorado - Pb -            MUNICIPIO IGNORADO - PB -                  Municipio Ignorado - Pb -            8
25001      ATIVO              Catole Do Rocha - PB                 CATOLE DO ROCHA - PB                       Catole Do Rocha - PB                 1
25002      ATIVO              Cajazeiras - PB                      CAJAZEIRAS - PB                            Cajazeiras - PB                      1
25003      ATIVO              Sousa - PB                           SOUSA - PB                                 Sousa - PB                           1
25004      ATIVO              Patos - PB                           PATOS - PB                                 Patos - PB                           1
25005      ATIVO              Pianco - PB                          PIANCO - PB                                Pianco - PB                          1
25006      ATIVO              Itaporanga - PB                      ITAPORANGA - PB                            Itaporanga - PB                      1
25007      ATIVO              Serra Do Teixeira - PB               SERRA DO TEIXEIRA - PB                     Serra Do Teixeira - PB               1
25008      ATIVO              Serido Ocidental Paraibano - PB      SERIDO OCIDENTAL PARAIBANO - PB            Serido Ocidental Paraibano - PB      1
25009      ATIVO              Serido Oriental Paraibano - PB       SERIDO ORIENTAL PARAIBANO - PB             Serido Oriental Paraibano - PB       1
25010      ATIVO              Cariri Ocidental - PB                CARIRI OCIDENTAL - PB                      Cariri Ocidental - PB                1
25011      ATIVO              Cariri Oriental - PB                 CARIRI ORIENTAL - PB                       Cariri Oriental - PB                 1
25012      ATIVO              Curimatau Ocidental - PB             CURIMATAU OCIDENTAL - PB                   Curimatau Ocidental - PB             1
25013      ATIVO              Curimatau Oriental - PB              CURIMATAU ORIENTAL - PB                    Curimatau Oriental - PB              1
25014      ATIVO              Esperanca - PB                       ESPERANCA - PB                             Esperanca - PB                       1
25015      ATIVO              Brejo Paraibano - PB                 BREJO PARAIBANO - PB                       Brejo Paraibano - PB                 1
25016      ATIVO              Guarabira - PB                       GUARABIRA - PB                             Guarabira - PB                       1
25017      ATIVO              Campina Grande - PB                  CAMPINA GRANDE - PB                        Campina Grande - PB                  1
25018      ATIVO              Itabaiana - PB                       ITABAIANA - PB                             Itabaiana - PB                       1
25019      ATIVO              Umbuzeiro - PB                       UMBUZEIRO - PB                             Umbuzeiro - PB                       1
25020      ATIVO              Litoral Norte - PB                   LITORAL NORTE - PB                         Litoral Norte - PB                   1
25021      ATIVO              Sape - PB                            SAPE - PB                                  Sape - PB                            1
25022      ATIVO              Joao Pessoa - PB                     JOAO PESSOA - PB                           Joao Pessoa - PB                     1
25023      ATIVO              Litoral Sul - PB                     LITORAL SUL - PB                           Litoral Sul - PB                     1
26000      IGNOR              Municipio Ignorado - Pe -            MUNICIPIO IGNORADO - PE -                  Municipio Ignorado - Pe -            8
26001      ATIVO              Araripina - PE                       ARARIPINA - PE                             Araripina - PE                       1
26002      ATIVO              Salgueiro - PE                       SALGUEIRO - PE                             Salgueiro - PE                       1
26003      ATIVO              Pajeu - PE                           PAJEU - PE                                 Pajeu - PE                           1
26004      ATIVO              Sertao Do Moxoto - PE                SERTAO DO MOXOTO - PE                      Sertao Do Moxoto - PE                1
26005      ATIVO              Petrolina - PE                       PETROLINA - PE                             Petrolina - PE                       1
26006      ATIVO              Itaparica - PE                       ITAPARICA - PE                             Itaparica - PE                       1
